Country,Country Code,Continent,Region,Year,Emissions_Per_Capita,Emissions,Vaccinations
Afghanistan,4,Asia,Southern Asia,2022,1.590932656,12251.447,11.75
Afghanistan,4,Asia,Southern Asia,2022,0.70828953,8470.77,11.64
Afghanistan,4,Asia,Southern Asia,2022,0.814570892,6776.616,11.4
Afghanistan,4,Asia,Southern Asia,2022,3.586001009,4217.05,11.1
Afghanistan,4,Asia,Southern Asia,2022,0.08656317,2280.874,11.05
Afghanistan,4,Asia,Southern Asia,2022,10.23466645,1657.484,10.75
Afghanistan,4,Asia,Southern Asia,2022,17.22.0538378507094788,1338.455,10.62
Afghanistan,4,Asia,Southern Asia,2022,15.64984761,957.087,10.15
Afghanistan,4,Asia,Southern Asia,2022,8.834893348,1037.761,9.77
Afghanistan,4,Asia,Southern Asia,2022,0.75029887,894.748,9.62
Afghanistan,4,Asia,Southern Asia,2021,0.650232274,645.392,10
Afghanistan,4,Asia,Southern Asia,2021,0.65792461,781.071,8
Afghanistan,4,Asia,Southern Asia,2021,35.04164737,832.409,1.08
Afghanistan,4,Asia,Southern Asia,2021,38.31416756,1056.096,0.55
Afghanistan,4,Asia,Southern Asia,2021,3.558606527,1114.768,0.46
Afghanistan,4,Asia,Southern Asia,2021,2.115114798,1199.109,0.36
Afghanistan,4,Asia,Southern Asia,2020,4.522146977,1268.782,0
Afghanistan,4,Asia,Southern Asia,2020,4.080079985,1320.12,0
Afghanistan,4,Asia,Southern Asia,2020,4.090615852,1375.125,0
Afghanistan,4,Asia,Southern Asia,2020,4.103278005,1426.463,0
Afghanistan,4,Asia,Southern Asia,2020,4.797712615,2493.56,0
Afghanistan,4,Asia,Southern Asia,2020,4.228187363,2676.91,0
Albania,8,Europe,Southern Europe,2022,1.480109123,4668.091,
Albania,8,Europe,Southern Europe,2022,1.401545263,4415.068,
Albania,8,Europe,Southern Europe,2022,1.4243556,4488.408,
Albania,8,Europe,Southern Europe,2022,1.475346321,4657.09,
Albania,8,Europe,Southern Europe,2022,1.414116572,4477.407,
Albania,8,Europe,Southern Europe,2022,1.215577689,3865.018,
Albania,8,Europe,Southern Europe,2022,1.330897054,4253.72,
Albania,8,Europe,Southern Europe,2022,1.295229117,4165.712,
Albania,8,Europe,Southern Europe,2022,1.325577849,4294.057,
Albania,8,Europe,Southern Europe,2022,1.149450177,3751.341,
Albania,8,Europe,Southern Europe,2021,0.980891846,3223.293,
Albania,8,Europe,Southern Europe,2021,0.91426794,3021.608,
Albania,8,Europe,Southern Europe,2021,0.899635648,2984.938,
Albania,8,Europe,Southern Europe,2021,0.527093427,1752.826,
Albania,8,Europe,Southern Europe,2021,0.463422424,1543.807,
Albania,8,Europe,Southern Europe,2021,0.603658798,2016.85,
Albania,8,Europe,Southern Europe,2020,0.621385121,2086.523,
Albania,8,Europe,Southern Europe,2020,0.569926961,1928.842,
Albania,8,Europe,Southern Europe,2020,0.685695348,2343.213,
Albania,8,Europe,Southern Europe,2020,0.692577704,2387.217,
Albania,8,Europe,Southern Europe,2020,1.147870822,3971.361,
Albania,8,Europe,Southern Europe,2020,2.172402188,7488.014,
Algeria,12,Africa,Northern Africa,2022,13.22420156,121755.401,
Algeria,12,Africa,Northern Africa,2022,13.21822541,119276.509,
Algeria,12,Africa,Northern Africa,2022,23.33598179,121374.033,
Algeria,12,Africa,Northern Africa,2022,13.12315274,111575.809,
Algeria,12,Africa,Northern Africa,2022,13.11407816,109294.935,
Algeria,12,Africa,Northern Africa,2022,12.92459157,100919.507,
Algeria,12,Africa,Northern Africa,2022,8.154443155,107127.738,
Algeria,12,Africa,Northern Africa,2022,32.67452295,89493.135,
Algeria,12,Africa,Northern Africa,2022,52.80374023,92533.078,
Algeria,12,Africa,Northern Africa,2022,32.78923207,90853.592,
Algeria,12,Africa,Northern Africa,2021,25.62186034,84293.329,
Algeria,12,Africa,Northern Africa,2021,7.772147555,87930.993,
Algeria,12,Africa,Northern Africa,2021,4.945320314,92118.707,
Algeria,12,Africa,Northern Africa,2021,5.474320431,107080.067,
Algeria,12,Africa,Northern Africa,2021,22.90636555,88195.017,
Algeria,12,Africa,Northern Africa,2021,7.254508932,97131.496,
Algeria,12,Africa,Northern Africa,2020,6.252401881,95345.667,
Algeria,12,Africa,Northern Africa,2020,3.008438011,86500.863,
Algeria,12,Africa,Northern Africa,2020,3.922654307,82294.814,
Algeria,12,Africa,Northern Africa,2020,5.975667284,81935.448,
Algeria,12,Africa,Northern Africa,2020,3.020056546,81220.383,
Algeria,12,Africa,Northern Africa,2020,3.007839912,78924.841,
Andorra,20,Europe,Southern Europe,2022,,491.378,
Andorra,20,Europe,Southern Europe,2022,,517.047,
Andorra,20,Europe,Southern Europe,2022,,517.047,
Andorra,20,Europe,Southern Europe,2022,,539.049,
Andorra,20,Europe,Southern Europe,2022,,539.049,
Andorra,20,Europe,Southern Europe,2022,,546.383,
Andorra,20,Europe,Southern Europe,2022,,575.719,
Andorra,20,Europe,Southern Europe,2022,,564.718,
Andorra,20,Europe,Southern Europe,2022,,535.382,
Andorra,20,Europe,Southern Europe,2022,,531.715,
Andorra,20,Europe,Southern Europe,2021,,524.381,
Andorra,20,Europe,Southern Europe,2021,,524.381,
Andorra,20,Europe,Southern Europe,2021,,513.38,
Andorra,20,Europe,Southern Europe,2021,,484.044,
Andorra,20,Europe,Southern Europe,2021,,458.375,
Andorra,20,Europe,Southern Europe,2021,,425.372,
Andorra,20,Europe,Southern Europe,2020,,407.037,
Angola,24,Africa,Middle Africa,2022,1.47221569,29710.034,
Angola,24,Africa,Middle Africa,2022,1.52145114,29743.037,
Angola,24,Africa,Middle Africa,2022,1.551339989,29361.669,
Angola,24,Africa,Middle Africa,2022,1.483663629,27172.47,
Angola,24,Africa,Middle Africa,2022,1.419985486,25151.953,
Angola,24,Africa,Middle Africa,2022,1.300402531,22266.024,
Angola,24,Africa,Middle Africa,2022,1.157880358,19156.408,
Angola,24,Africa,Middle Africa,2022,1.176297818,18793.375,
Angola,24,Africa,Middle Africa,2022,0.587820499,9064.824,
Angola,24,Africa,Middle Africa,2022,0.850821552,12665.818,
Angola,24,Africa,Middle Africa,2021,0.676539905,9732.218,
Angola,24,Africa,Middle Africa,2021,0.685212349,9541.534,
Angola,24,Africa,Middle Africa,2021,0.677726241,9156.499,
Angola,24,Africa,Middle Africa,2021,0.556293635,7308.331,
Angola,24,Africa,Middle Africa,2021,0.577081314,7381.671,
Angola,24,Africa,Middle Africa,2021,0.842542029,10491.287,
Angola,24,Africa,Middle Africa,2020,0.909710423,11012.001,
Angola,24,Africa,Middle Africa,2020,0.331307492,3890.687,
